time,heading,pitch,roll,xaccel,yaccel,zaccel,temp,pressure,altitude,pedo,gps
870.87,3.81,12.01,-8.51,-0.08,-0.1,0.01,51.77,1021.62,-1.72,14.76,"$GPGGA,205012.700,3903.4315,N,07726.7628,W,1,09,1.00,68.3,M,-33.4,M,,*64"
870.97,3.81,12.01,-8.51,-0.1,-0.08,0.01,51.77,1021.62,-1.68,14.7,"$GPGGA,205012.800,3903.4315,N,07726.7628,W,1,09,1.00,68.3,M,-33.4,M,,*6B"
871.07,3.81,12.01,-8.51,-0.12,-0.08,0.03,51.77,1021.61,-1.72,14.74,"$GPGGA,205012.900,3903.4315,N,07726.7628,W,1,09,1.00,68.3,M,-33.4,M,,*6A"
871.17,3.81,12.01,-8.51,-0.11,-0.12,0.03,51.77,1021.62,-1.71,14.73,"$GPGGA,205013.000,3903.4315,N,07726.7628,W,1,09,1.00,68.3,M,-33.4,M,,*62"
871.27,3.81,12.01,-8.51,-0.1,-0.12,0.01,51.77,1021.62,-1.63,14.75,"$GPGGA,205013.100,3903.4315,N,07726.7628,W,1,09,1.00,68.3,M,-33.4,M,,*63"
871.37,3.81,12.01,-8.51,-0.09,-0.07,0.0,51.77,1021.61,-1.69,14.66,"$GPGGA,205013.200,3903.4315,N,07726.7628,W,1,09,1.00,68.3,M,-33.4,M,,*60"
871.47,3.81,12.01,-8.51,-0.07,-0.09,0.0,51.77,1021.61,-1.76,14.7,"$GPGGA,205013.300,3903.4314,N,07726.7628,W,1,09,1.00,68.3,M,-33.4,M,,*60"
871.57,3.81,12.01,-8.51,-0.09,-0.09,0.01,51.77,1021.62,-1.79,14.71,"$GPGGA,205013.400,3903.4314,N,07726.7628,W,1,09,1.00,68.3,M,-33.4,M,,*67"
871.66,3.81,12.01,-8.51,-0.11,-0.07,0.02,51.78,1021.63,-1.66,14.74,"$GPGGA,205013.500,3903.4314,N,07726.7628,W,1,09,1.00,68.3,M,-33.4,M,,*66"
871.76,3.81,12.01,-8.51,-0.12,-0.11,0.01,51.78,1021.61,-1.6,14.66,"$GPGGA,205013.600,3903.4314,N,07726.7628,W,1,09,1.00,68.3,M,-33.4,M,,*65"
871.87,3.81,12.01,-8.51,-0.08,-0.12,0.03,51.77,1021.6,-1.59,14.71,"$GPGGA,205013.700,3903.4314,N,07726.7628,W,1,09,1.04,68.3,M,-33.4,M,,*60"
871.97,3.81,12.01,-8.51,-0.08,-0.11,0.01,51.77,1021.6,-1.63,14.7,"$GPGGA,205013.800,3903.4314,N,07726.7628,W,1,09,1.04,68.3,M,-33.4,M,,*6F"
872.07,3.81,12.01,-8.51,-0.1,-0.08,0.01,51.77,1021.61,-1.6,14.78,"$GPGGA,205013.900,3903.4314,N,07726.7628,W,1,09,1.04,68.3,M,-33.4,M,,*6E"
872.16,3.81,12.01,-8.51,-0.09,-0.09,0.01,51.77,1021.6,-1.58,14.7,"$GPGGA,205014.000,3903.4314,N,07726.7628,W,1,09,1.04,68.3,M,-33.4,M,,*60"
872.26,3.81,12.01,-8.51,-0.07,-0.1,0.02,51.77,1021.6,-1.5,14.7,"$GPGGA,205014.100,3903.4314,N,07726.7628,W,1,09,1.04,68.3,M,-33.4,M,,*61"
872.37,3.81,12.01,-8.51,-0.12,-0.1,0.01,51.77,1021.59,-1.59,14.68,"$GPGGA,205014.200,3903.4314,N,07726.7628,W,1,09,1.04,68.3,M,-33.4,M,,*62"
872.47,3.81,12.01,-8.51,-0.11,-0.1,0.02,51.77,1021.6,-1.59,14.79,"$GPGGA,205014.300,3903.4314,N,07726.7628,W,1,09,1.04,68.3,M,-33.4,M,,*63"
872.57,3.76,12.09,-8.61,-0.63,-0.12,1.1,51.77,1021.6,-1.67,14.73,"$GPGGA,205014.400,3903.4314,N,07726.7628,W,1,09,1.04,68.3,M,-33.4,M,,*64"
872.66,3.68,12.27,-8.72,-0.29,-0.15,-0.03,51.77,1021.61,-1.61,14.67,"$GPGGA,205014.500,3903.4314,N,07726.7628,W,1,09,1.04,68.3,M,-33.4,M,,*65"
872.76,3.55,12.31,-8.77,-0.22,-0.31,-0.32,51.77,1021.6,-1.78,14.71,"$GPGGA,205014.600,3903.4314,N,07726.7628,W,1,09,1.00,68.3,M,-33.4,M,,*62"
872.87,3.48,12.19,-8.76,-1.08,0.32,1.8,51.78,1021.62,-1.6,14.71,"$GPGGA,205014.700,3903.4314,N,07726.7628,W,1,09,1.04,68.3,M,-33.4,M,,*67"
872.97,3.5,12.42,-8.86,-0.84,0.86,-0.06,51.78,1021.6,-1.43,14.71,"$GPGGA,205014.800,3903.4314,N,07726.7628,W,1,09,1.04,68.3,M,-33.4,M,,*68"
873.07,3.49,12.49,-8.76,0.18,-0.97,0.11,51.78,1021.58,-0.88,14.73,"$GPGGA,205014.900,3903.4314,N,07726.7628,W,1,09,1.04,68.3,M,-33.4,M,,*69"
873.17,3.5,12.08,-8.49,-1.19,1.0,-0.19,51.78,1021.52,-0.48,14.67,"$GPGGA,205015.000,3903.4314,N,07726.7628,W,1,09,1.04,68.3,M,-33.4,M,,*61"
873.27,3.58,12.23,-8.67,0.32,0.21,-0.63,51.77,1021.47,-0.03,14.72,"$GPGGA,205015.100,3903.4314,N,07726.7628,W,1,09,1.04,68.3,M,-33.4,M,,*60"
873.37,3.58,12.68,-8.9,-0.97,-0.13,0.4,51.77,1021.41,0.29,14.77,"$GPGGA,205015.200,3903.4314,N,07726.7628,W,1,09,1.04,68.3,M,-33.4,M,,*63"
873.47,3.39,12.49,-8.81,-1.04,0.9,-1.23,51.77,1021.37,0.47,14.71,"$GPGGA,205015.300,3903.4314,N,07726.7628,W,1,09,1.04,68.3,M,-33.4,M,,*62"
